Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Braden Shewmake,ATL,SS,27,2.0,4,0,0,0,0,0,0,0,0,0,1,0.0,,0,0.0,0.0,0.0,0.0
Zack Collins,CLE,C,30,2.0,4,0,2,0,0,0,0,0,0,2,2,0.0,0.0,0,0.5,0.667,0.5,1.167
Meibrys Viloria,CLE,C,28,10.0,3,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,0.0,0.25,0.0,0.25
Austin Wynns,SF,C,34,1.0,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0,0.0,0.0,0.0,0.0
Tres Barrera,STL,C,30,,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Chris Okey,LAA,C,30,2.0,2,0,0,0,0,0,0,0,0,0,2,,0.0,0,0.0,0.0,0.0,0.0
Jake Marisnick,CWS,OF,33,9.0,2,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
Billy Hamilton,CWS,OF,34,3.0,2,2,0,0,0,0,0,2,0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
Alejo Lopez,CIN,2B,28,1.0,2,1,1,1,0,0,1,0,0,0,1,0.0,0.0,0,0.5,0.5,1.0,1.5
Chandler Seagle,SD,C,28,1.0,1,0,0,0,0,0,0,0,0,0,0,0.0,,0,0.0,0.0,0.0,0.0
Diego A. Castillo,ARI,OF,27,1.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Mason McCoy,TOR,SS,29,6.0,1,2,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
