Player,Year,Pos,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,Team
Max Muncy,2024,3B,34,74,293,237,47,55,17,0,15,48,1,0,45,77,0,6,5,0.232,0.358,0.494,0.852,LAD
Max Schuemann,2024,SS,27,114,454,396,55,87,14,0,7,34,14,1,47,119,5,4,7,0.22,0.311,0.308,0.619,OAK
Michael Busch,2024,1B,27,142,567,496,73,123,28,2,21,65,2,1,63,162,0,4,4,0.248,0.335,0.44,0.775,CHC
Michael Conforto,2024,OF,31,122,488,438,56,104,27,3,20,66,0,1,42,118,0,3,5,0.237,0.309,0.45,0.759,SF
Michael Harris,2024,OF,23,118,470,440,58,116,14,3,16,48,10,6,23,94,0,3,4,0.264,0.304,0.418,0.722,ATL
Michael Massey,2024,2B,26,89,354,332,45,86,17,2,14,45,1,0,15,56,0,4,3,0.259,0.294,0.449,0.743,KC
Michael Siani,2024,OF,25,81,323,298,42,68,7,2,2,20,20,3,21,92,11,1,3,0.228,0.285,0.285,0.57,STL
Michael Stefanic,2024,2B,29,31,123,110,8,24,4,0,0,8,0,0,10,20,1,0,3,0.218,0.301,0.255,0.556,LAA
Michael Taylor,2024,OF,33,74,296,269,35,52,9,1,5,21,12,1,23,105,4,4,0,0.193,0.253,0.29,0.5429999999999999,PIT
Michael Toglia,2024,1B,26,115,457,399,62,87,14,3,25,55,10,1,54,147,0,3,1,0.218,0.311,0.456,0.767,COL
Mickey Moniak,2024,OF,26,105,418,392,48,86,17,2,14,49,8,4,21,114,0,1,4,0.219,0.266,0.38,0.646,LAA
Miguel Amaya,2024,C,25,90,358,328,32,76,13,2,8,47,0,0,23,62,0,3,4,0.232,0.288,0.357,0.645,CHC
Miguel Andujar,2024,OF,29,80,319,302,31,86,14,1,4,30,3,2,13,42,0,1,3,0.285,0.32,0.377,0.6970000000000001,OAK
Miguel Rojas,2024,SS,36,84,335,307,41,87,21,0,6,36,8,2,23,34,2,2,3,0.283,0.337,0.41,0.747,LAD
Miguel Sano,2024,1B,31,24,95,83,9,17,3,0,2,6,0,0,9,36,0,1,2,0.205,0.295,0.313,0.608,LAA
Miguel Vargas,2024,3B,25,60,237,206,22,31,7,0,5,16,3,1,25,57,0,3,3,0.15,0.249,0.257,0.506,LAD
Mike Tauchman,2024,OF,34,88,350,298,50,74,12,1,7,29,6,2,47,70,0,1,4,0.248,0.357,0.366,0.723,CHC
Mike Trout,2024,OF,33,32,126,109,17,24,1,2,10,14,6,1,16,27,0,0,1,0.22,0.325,0.541,0.8660000000000001,LAA
Mike Yastrzemski,2024,OF,34,119,473,428,60,99,16,9,18,57,3,2,38,124,1,1,6,0.231,0.302,0.437,0.739,SF
Miles Mastrobuoni,2024,3B,29,27,106,98,9,19,3,0,0,4,2,0,7,17,0,1,0,0.194,0.245,0.224,0.469,CHC
Mitch Garver,2024,C,34,108,430,367,37,63,17,0,15,51,0,0,53,133,0,3,7,0.172,0.286,0.341,0.627,SEA
Mitch Haniger,2024,OF,34,106,423,380,42,79,12,0,12,44,0,0,40,126,0,1,2,0.208,0.286,0.334,0.62,SEA
Mookie Betts,2024,OF,32,129,516,450,75,130,24,5,19,75,16,2,61,57,0,4,1,0.289,0.372,0.491,0.863,LAD
Nathan Lukes,2024,OF,30,23,89,76,13,23,4,2,1,10,1,0,10,9,2,3,0,0.303,0.371,0.447,0.8180000000000001,TOR
Nathaniel Lowe,2024,1B,29,142,565,486,62,129,16,1,16,69,2,0,71,125,0,4,4,0.265,0.361,0.401,0.762,TEX
Nelson Velazquez,2024,DH,26,58,230,205,31,41,8,1,8,27,2,0,19,61,0,3,3,0.2,0.274,0.366,0.64,KC
Nick Ahmed,2024,SS,34,58,225,210,20,48,6,1,2,17,2,1,11,51,3,3,1,0.229,0.267,0.295,0.562,SD
Nick Allen,2024,SS,26,26,102,97,6,17,4,0,1,4,0,0,5,20,3,0,0,0.175,0.216,0.247,0.46299999999999997,OAK
Nick Castellanos,2024,OF,32,162,659,606,80,154,30,4,23,86,6,2,41,139,0,2,10,0.254,0.311,0.431,0.742,PHI
Nick Fortes,2024,C,28,82,328,308,28,70,16,0,4,29,0,1,11,41,7,5,4,0.227,0.259,0.318,0.577,MIA
Nick Gonzales,2024,2B,25,97,386,359,42,97,19,3,7,49,5,3,18,74,1,4,5,0.27,0.311,0.398,0.7090000000000001,PIT
